Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
DMART,EQ,1184.65,1201.0,1244.0,1190.0,1222.9,1213.1,1221.92,2717138,332012992365000.0,79162,452192,0.16640000000000002
DMART,EQ,1213.1,1234.0,1279.8,1223.0,1279.8,1268.65,1248.09,2057518,256796929569999.97,50182,368373,0.179
DMART,EQ,1268.65,1285.0,1288.65,1220.0,1234.65,1229.9,1249.3,2507878,313308392080000.0,89810,1001898,0.3995
DMART,EQ,1229.9,1250.0,1275.0,1225.05,1237.0,1232.45,1247.56,2410127,300677451340000.0,65799,672781,0.2791
DMART,EQ,1232.45,1234.0,1241.55,1210.0,1221.8,1220.0,1225.32,793647,97247542880000.0,24072,235848,0.2972
DMART,EQ,1220.0,1217.4,1225.45,1132.15,1161.0,1159.7,1172.74,2368299,277739202110000.0,68146,627523,0.265
DMART,EQ,1159.7,1165.0,1177.7,1162.0,1165.1,1167.4,1169.23,340842,39852122460000.0,12613,112701,0.3307
DMART,EQ,1167.4,1170.0,1175.0,1117.1,1127.0,1126.4,1129.67,1135187,128238810425000.0,55038,412979,0.3638
DMART,EQ,1126.4,1127.0,1148.5,1085.5,1091.3,1092.9,1111.25,1475872,164007005135000.0,59449,513375,0.3478
DMART,EQ,1092.9,1100.0,1160.0,1070.7,1155.0,1143.7,1114.24,1641798,182935532790000.0,59498,515582,0.314
DMART,EQ,1143.7,1160.5,1170.0,1132.55,1142.05,1143.1,1151.52,868267,99982470510000.0,26862,197046,0.22690000000000002
DMART,EQ,1143.1,1148.5,1153.4,1132.55,1138.0,1136.2,1139.93,432640,49317795675000.0,14877,118776,0.2745
DMART,EQ,1136.2,1144.0,1164.8,1144.0,1147.9,1147.9,1152.85,502967,57984784865000.0,16072,179290,0.3565
DMART,EQ,1147.9,1155.0,1155.0,1135.0,1139.95,1140.6,1144.05,280071,32041558250000.0,10796,78026,0.2786
DMART,EQ,1140.6,1146.0,1168.0,1135.05,1149.5,1151.8,1148.01,625587,71817839220000.0,20670,297449,0.4755
